season,version,episode_number_overall,episode,episode_label,episode_date,viewers,imdb_rating,n_ratings
3,AU,75,23,Ep 23,2018-10-08,793000,8.3,20
6,SA,75,4,Ep 4,2018-05-24,NA,8,5
6,US,76,6,Ep 6,2003-03-19,16420000.000000002,7.8,226
3,AU,76,24,Finale,2018-10-09,862000,8.6,19
6,SA,76,5,Ep 5,2018-05-31,NA,8.4,5
6,US,77,7,Ep 7,2003-03-26,16670000.000000002,8.4,240
4,AU,77,1,Ep 1,2019-07-24,807000,8.4,51
6,SA,77,6,Ep 6,2018-06-07,NA,8,5
6,US,78,8,Ep 8,2003-04-03,19800000,7.7,222
4,AU,78,2,Ep 2,2019-07-25,712000,7.9,45
6,SA,78,7,Ep 7,2018-06-14,NA,8,5
6,US,79,9,Ep 9,2003-04-10,19080000,7.8,219
4,AU,79,3,Ep 3,2019-07-28,562000,8.5,42
6,SA,79,8,Ep 8,2018-06-21,NA,8,5
6,US,80,10,Recap,2003-04-17,14230000,7.5,121
4,AU,80,4,Ep 4,2019-07-29,655000,8.3,42
6,SA,80,9,Ep 9,2018-06-28,NA,8.4,5
6,US,81,11,Ep 11,2003-04-24,18090000,8,224
4,AU,81,5,Ep 5,2019-07-30,641000,8.6,41
6,SA,81,10,Ep 10,2018-07-05,NA,8.8,6
6,US,82,12,Ep 12,2003-05-01,17650000,7.9,223
4,AU,82,6,Ep 6,2019-08-04,630000,8.3,39
6,SA,82,11,Ep 11,2018-07-12,NA,8.2,5
6,US,83,13,Ep 13,2003-05-08,18990000,8,209
4,AU,83,7,Ep 7,2019-08-05,713000,8.8,45
6,SA,83,12,Ep 12,2018-07-19,NA,8.2,5
6,US,84,14,Finale,2003-05-11,22290000,7.8,229
4,AU,84,8,Ep 8,2019-08-06,723000,8.1,38
6,SA,84,13,Ep 13,2018-07-26,NA,8.2,5
7,US,85,1,Ep 1,2003-09-18,21500000,8.8,289
4,AU,85,9,Ep 9,2019-08-11,693000,8.1,42
6,SA,85,14,Ep 14,2018-08-02,NA,8.4,5
7,US,86,2,Ep 2,2003-09-25,19860000,8.1,243
4,AU,86,10,Ep 10,2019-08-12,711000,8.9,44
6,SA,86,15,Ep 15,2018-09-09,NA,NA,NA
7,US,87,3,Ep 3,2003-10-02,19680000,8,238
4,AU,87,11,Ep 11,2019-08-13,739000,8.7,42
6,SA,87,16,Finale,2018-09-16,NA,8.6,5
7,US,88,4,Ep 4,2003-10-09,19400000,8.3,241
4,AU,88,12,Ep 12,2019-08-18,650000,8.2,45
7,SA,88,1,Ep 1,2019-05-16,NA,9.5,10
7,US,89,5,Ep 5,2003-10-16,19350000,7.9,239
4,AU,89,13,Ep 13,2019-08-19,NA,8.1,43
7,SA,89,2,Ep 2,2019-05-23,NA,9.1,7
7,US,90,6,Ep 6,2003-10-23,20190000,8.4,213
4,AU,90,14,Ep 14,2019-08-20,NA,8.5,41
7,SA,90,3,Ep 3,2019-05-30,NA,9,7
7,US,91,7,Ep 7,2003-10-30,20700000,8.7,205
4,AU,91,15,Ep 15,2019-08-25,NA,8.2,40
7,SA,91,4,Ep 4,2019-06-06,NA,9,7
7,US,92,8,Ep 8,2003-11-06,21300000,8.3,235
4,AU,92,16,Ep 16,2019-08-26,NA,8.8,43
7,SA,92,5,Ep 5,2019-06-13,NA,9.3,7
7,US,93,9,Ep 9,2003-11-13,22100000,7.9,232
4,AU,93,17,Ep 17,2019-08-27,NA,8.3,40
